! generator: yaml2ck
! cantera-version: 3.1.0
! date: Wed, 15 Jul 2026 12:04:11 -0500
! input-files: ['gas']
!
! Luo Z., Som S., Sarathy S.M., Plomer M., Pitz W.J., Longman D.E., Lu T.F., "Development and Validation of an
! n-Dodecane Skeletal Mechanism for Diesel Spray-Combustion Applications," Combust. Theory Model., DOI:
! 10.1080/13647830.2013.872807, 2014.

h                  0   145.000     2.050     0.000     0.000     0.000
h2                 1    38.000     2.920     0.000     0.790   280.000
o                  0    80.000     2.750     0.000     0.000     0.000
o2                 1   102.600     3.480     0.000     1.600     3.800 ! !L-J from Mourits 1977 (Mani 2010)
oh                 1    80.000     2.750     0.000     0.000     0.000
h2o                2   506.000     3.215     1.844     0.000     4.000 ! !L-J from Mourits 1977 (Mani 2010)
n2                 1    82.000     3.738     0.000     1.760     4.000 ! L-J from Mourits 1977 (Mani 2010)
ho2                2   107.400     3.458     0.000     0.000     1.000 ! *
h2o2               2   107.400     3.458     0.000     0.000     3.800
co                 1   104.500     3.698     0.000     1.950     1.800 ! L-J from Mourits 1977 (Mani 2010)
co2                1   200.900     3.943     0.000     2.650     2.100 ! L-J from Mourits 1977 (Mani 2010)
ch2o               2   498.000     3.590     0.000     0.000     2.000
hco                2   498.000     3.590     0.000     0.000     0.000
ch3o               2   417.000     3.690     1.700     0.000     2.000
ch4                2   142.100     3.790     0.000     2.600    13.000 ! L-J from Mourits 1977 (Mani 2010)
ch3                1   144.000     3.800     0.000     0.000     0.000
c2h6               2   227.900     4.407     0.000     0.000     1.500 ! !L-J from Mourits 1977 (Mani 2010)
c2h5               1   225.600     4.155     0.000     0.000     1.500 ! !L-J from Mourits 1977 (Mani 2010)
c2h4               1   225.600     4.155     0.000     0.000     1.500 ! !L-J from Mourits 1977 (Mani 2010)
c2h3               1   221.400     4.078     0.000     0.000     2.500 ! L-J from Mourits 1977 (Mani 2010)
c2h2               1   221.400     4.078     0.000     0.000     2.500 ! L-J from Mourits 1977 (Mani 2010)
ch3cho             2   436.000     3.970     0.000     0.000     2.000
ch3co              2   436.000     3.970     0.000     0.000     2.000
ch2cho             2   436.000     3.970     0.000     0.000     2.000
ch2co              2   314.300     4.191     1.400     0.000     2.000 ! wjp:  ketene, tcpc, poling 4th ed. rot no. from chemkin tranport database
hcco               2   150.000     2.500     0.000     0.000     1.000 ! *
c2h5o              2   470.600     4.410     0.000     0.000     1.500 ! nmm
c2h3o1-2           2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co
ch3coch2           2   435.500     4.860     0.000     0.000     1.000 ! nmm
c2h3cho            2   428.800     4.958     2.900     0.000     1.000 ! wjp:  acrolein, tcpc, poling 4th edition
c2h3co             2   443.200     4.120     0.000     0.000     1.000 ! nmm
c2h5cho            2   435.200     4.662     2.700     0.000     1.000 ! wjp, propanal
c3h8               2   237.200     5.114     0.000     0.000     1.000 ! !L-J from Mourits 1977 (Mani 2010)
nc3h7              2   303.400     4.810     0.000     0.000     1.000 ! nmm
c3h6               1   271.200     4.778     0.000     0.000     1.000 ! !L-J from Mourits 1977 (Mani 2010)
c3h5-a             2   316.000     4.220     0.000     0.000     1.000
c3h4-a             1   284.700     4.667     0.000     0.000     1.000 ! !L-J from Mourits 1977 (Mani 2010)
c3h5o              2   411.000     4.820     0.000     0.000     1.000 ! nmm
nc3h7o2            2   481.500     4.997     1.700     0.000     1.000 ! wjp
c4h10              2   350.900     5.206     0.000     0.000     1.000 ! wjp
c4h8-1             1   302.400     5.274     0.000     0.000     1.000 ! !L-J from Mourits 1977 (Mani 2010)
pc4h9              1   305.000     5.405     0.000     0.000     1.000 ! !L-J from Mourits 1977 (Mani 2010)
c4h71-3            2   355.000     4.650     0.000     0.000     1.000 ! nmm
c4h6               2   350.400     4.984     0.000     0.000     1.000 ! wjp:  1,3 butadiene, tcpc, poling 4th ed.
pc4h9o2            2   496.000     5.200     0.000     0.000     1.000 ! wjp
c4h7o              2   496.000     5.200     0.000     0.000     1.000 ! nmm
c4h8ooh1-3         2   496.000     5.200     0.000     0.000     1.000 ! wjp
c4h8ooh1-3o2       2   496.000     5.200     0.000     0.000     1.000 ! wjp
nc4ket13           2   476.000     5.778     2.600     0.000     1.000 ! wjp
nc3h7cho           2   464.200     5.009     2.600     0.000     1.000 ! wjp: butanal, tcpc
nc3h7co            2   464.200     5.009     2.600     0.000     1.000 ! wjp
c5h11-1            2   523.200     5.664     1.700     0.000     1.000 ! wjp
c6h13-1            1   510.730     5.780     0.000     0.000     0.000 ! calc Mani 2010
c6h12-1            1   423.400     5.850     0.000    11.650     1.000 ! calc Mani 2010
nc4h9cho           2   476.000     5.778     2.600     0.000     1.000 ! wjp:  pentanal, tcpc, poling 4th edition
nc4h9co            2   476.000     5.778     2.600     0.000     1.000 ! wjp
nc3h7coch2         2   489.084     5.348     0.000     0.000     0.000 ! flamemaster
c7h15-1            1   563.150     6.030     0.000    13.610     1.000 ! !calc Mani 2010
c7h14-1            1   558.040     5.890     0.000    13.510     1.000 ! calc Mani 2010
c7h15o2-1          2   561.000     6.317     1.700     0.000     1.000 ! wjp
c7h14ooh1-3        2   561.000     6.317     1.700     0.000     1.000 ! wjp
nc5h11cho          2   498.600     6.009     2.000     0.000     1.000 ! c2h5coc3h7-n wjp
nc5h11co           2   498.600     6.009     2.000     0.000     1.000 ! c2h5coc3h7-n wjp
